R;M;L
38.530811;30.808729;49.835159
38.531101;30.809095;49.836613
38.526184;30.807989;49.838139
38.518913;30.806374;49.837288
38.514690;30.806919;49.835392
38.514450;30.807632;49.833260
38.515896;30.806009;49.829880
38.517899;30.803642;49.826786
38.520195;30.803179;49.827240
38.521698;30.804714;49.830307
38.521187;30.806137;49.831345
38.519745;30.805460;49.828743
38.520187;30.803019;49.825542
38.521564;30.800251;49.823643
38.519543;30.796873;49.821354
38.515450;30.793592;49.818508
38.513535;30.793644;49.817509
38.513134;30.797779;49.819382
38.513931;30.803761;49.823280
38.518482;30.810204;49.828274
38.527199;30.817856;49.835384
38.539455;30.829464;49.846569
38.554642;30.845720;49.860386
38.570320;30.863037;49.873909
38.583126;30.878626;49.886124
38.592369;30.893541;49.897785
38.603317;30.910814;49.913254
38.621658;30.932875;49.937256
38.643120;30.957415;49.966030
38.658363;30.976927;49.989868
38.663971;30.984137;50.001907
38.660648;30.976315;49.999184
38.648033;30.956856;49.982620
38.629051;30.934044;49.959244
38.610039;30.914515;49.937656
38.592869;30.897766;49.920151
38.575375;30.879633;49.902691
38.557114;30.856985;49.880947
38.538719;30.829372;49.854885
38.521702;30.802000;49.829159
38.509163;30.783590;49.809143
38.500996;30.776550;49.796249
38.492783;30.773394;49.787746
38.484062;30.766249;49.780567
38.480824;30.757120;49.775391
38.484928;30.753654;49.774166
38.488941;30.756832;49.774677
38.486023;30.759901;49.773434
38.478607;30.758207;49.771351
38.474083;30.755342;49.772247
38.474121;30.757240;49.776760
38.475113;30.762522;49.781242
38.477364;30.765869;49.783241
38.485451;30.771048;49.784046
38.496914;30.787531;49.782875
38.498089;30.813896;49.773418
38.482136;30.843758;49.757523
38.467255;30.886110;49.763290
38.484665;30.958780;49.840034
38.554379;31.068981;50.040981
38.682560;31.208921;50.407589
38.861504;31.357473;50.918564
39.054966;31.484123;51.447594
39.198437;31.550303;51.819794
39.230129;31.506529;51.894417
39.139549;31.333836;51.624352
38.982239;31.095533;51.108410
38.820099;30.883253;50.540691
38.680977;30.739820;50.089432
38.586376;30.675100;49.837658
38.547848;30.682524;49.767841
38.542118;30.725882;49.790318
38.537979;30.763107;49.822556
38.526409;30.777735;49.832161
38.514851;30.778233;49.823833
38.509483;30.778673;49.813274
38.506584;30.782494;49.808472
38.499966;30.783743;49.806587
38.492104;30.780506;49.803253
38.490547;30.780005;49.799725
38.495346;30.786625;49.799641
38.497890;30.793432;49.802700
38.495453;30.793245;49.805199
38.494637;30.788633;49.804718
38.497032;30.785387;49.801926
38.497341;30.785065;49.799915
38.494324;30.786627;49.802032
38.491844;30.789030;49.807487
38.492382;30.791103;49.811077
38.494213;30.791664;49.809689
38.494831;30.791161;49.806625
38.496071;30.791582;49.806503
38.498943;30.793427;49.809036
38.499924;30.795021;49.811638
38.498577;30.796389;49.814342
38.497768;30.798792;49.817558
38.497311;30.802017;49.820637
38.496696;30.805494;49.824127
38.498688;30.808594;49.828426
38.504234;30.810030;49.832634
38.509922;30.809870;49.836235
38.512478;30.809956;49.839878
38.511864;30.812284;49.844654
38.509300;30.816875;49.850502
38.505463;30.820169;49.854618
38.501141;30.818624;49.855358
38.499817;30.814487;49.855530
38.503815;30.812502;49.857841
38.509483;30.813446;49.862190
38.512093;30.815649;49.867847
38.512005;30.818310;49.874107
38.512543;30.821920;49.880974
38.514618;30.826031;49.888596
38.516693;30.828367;49.896374
38.517872;30.829033;49.903839
38.519390;30.831106;49.911263
38.522266;30.835201;49.918633
38.524845;30.838648;49.924961
38.525692;30.840576;49.929741
38.527763;30.843529;49.934093
38.533287;30.849167;49.939182
38.539650;30.855368;49.944363
38.544113;30.859520;49.947781
38.546902;30.862003;49.948330
38.548550;30.865364;49.947041
38.548496;30.870478;49.945675
38.547832;30.875746;49.944714
38.550259;30.881073;49.943962
38.556984;30.887344;49.943764
38.564281;30.892218;49.943863
38.568813;30.893593;49.943058
38.571568;30.894039;49.941616
38.574230;30.897367;49.941994
38.576576;30.904694;49.945808
38.579578;30.914759;49.951981
38.584610;30.924572;49.956993
38.589489;30.930143;49.957073
38.592342;30.930378;49.951603
38.594273;30.928568;49.943329
38.595673;30.927111;49.934963
38.595196;30.924604;49.926723
38.592007;30.919115;49.917603
38.586685;30.910952;49.906754
38.580566;30.901409;49.894032
38.576622;30.892218;49.881599
38.577324;30.886307;49.873463
38.579247;30.884863;49.870434
38.577000;30.885513;49.870239
38.571278;30.884945;49.871212
38.565002;30.882101;49.872810
38.559242;30.878702;49.875404
38.555431;30.877047;49.879280
38.555538;30.878220;49.884602
38.559544;30.880962;49.890953
38.564384;30.882504;49.896206
38.567135;30.882595;49.899616
38.568779;30.883520;49.903728
38.571404;30.886568;49.910580
38.575180;30.891182;49.919933
38.578568;30.894915;49.928852
38.578556;30.894705;49.933014
38.574406;30.890524;49.931671
38.569492;30.885981;49.928669
38.565010;30.883337;49.927166
38.559196;30.881426;49.927105
38.555164;30.880402;49.928543
38.557777;30.881046;49.931255
38.562664;30.880363;49.932545
38.562840;30.876505;49.930882
38.560425;30.873062;49.928379
38.560246;30.874136;49.927551
38.561676;30.878130;49.927849
38.562241;30.879715;49.926350
38.561760;30.877941;49.921463
38.560349;30.875761;49.913963
38.556671;30.872675;49.905434
38.550667;30.867321;49.897911
38.545521;30.862572;49.893204
38.544739;30.860765;49.891174
38.547829;30.860125;49.889393
38.549728;30.857422;49.884869
38.547035;30.851374;49.877155
38.542267;30.844376;49.869320
38.537197;30.838848;49.863422
38.530872;30.834127;49.858242
38.525455;30.830502;49.854099
38.523426;30.829874;49.852757
38.522999;30.831053;49.852200
38.522717;30.830267;49.850136
38.523102;30.827385;49.848236
38.523663;30.825777;49.848503
38.523354;30.826368;49.849716
38.522274;30.826830;49.849400
38.521526;30.826014;49.846645
38.522694;30.824764;49.843605
38.525505;30.823240;49.842266
38.527882;30.821072;49.841942
38.528831;30.818811;49.840664
38.528580;30.817495;49.838524
38.527100;30.817017;49.837444
38.525597;30.816010;49.836655
38.525677;30.814089;49.833641
38.527523;30.812996;49.830402
38.529984;30.814684;49.831802
38.531380;30.818893;49.836693
38.530994;30.822483;49.839355
38.528976;30.822416;49.838680
38.526318;30.819542;49.837650
38.524792;30.816505;49.836586
38.524254;30.813793;49.834259
38.523586;30.811756;49.832249
38.523079;30.811558;49.832302
38.522514;30.811329;49.832245
38.520424;30.808432;49.829109
38.516594;30.803627;49.823914
38.513481;30.799135;49.819443
38.513229;30.796408;49.816841
38.514950;30.796841;49.817139
38.516933;30.800261;49.820534
38.518665;30.802946;49.823406
38.519505;30.802444;49.823124
38.518848;30.802008;49.822395
38.516960;30.804106;49.823357
38.514286;30.805330;49.823128
38.512020;30.803566;49.820808
38.513409;30.802174;49.820660
38.518059;30.803030;49.823372
38.520409;30.803045;49.823849
38.518867;30.801016;49.820992
38.518349;30.800926;49.820347
38.521027;30.804674;49.824421
38.522999;30.807728;49.828667
38.522633;30.807032;49.829880
38.524265;30.807087;49.832050
38.529129;30.811993;49.837288
38.534103;30.819971;49.842251
38.540474;30.829939;49.847256
38.552120;30.843204;49.857388
38.568478;30.859432;49.874031
38.584217;30.876432;49.891571
38.594013;30.891533;49.903652
38.601063;30.904886;49.912788
38.614635;30.922274;49.928314
38.635490;30.946390;49.952988
38.654305;30.970289;49.978989
38.665169;30.985802;49.998444
38.669369;30.990635;50.008011
38.667870;30.984545;50.005424
38.659111;30.967920;49.991295
38.643932;30.944368;49.971027
38.627075;30.919537;49.950005
38.610569;30.896816;49.930073
38.590591;30.874571;49.909470
38.565578;30.849939;49.885376
38.542042;30.824993;49.859261
38.527328;30.804743;49.837372
38.520256;30.791029;49.823620
38.514259;30.781874;49.814480
38.508099;30.774811;49.804897
38.505352;30.769247;49.797028
38.504910;30.766863;49.797134
38.502346;30.767977;49.802776
38.497955;30.767817;49.803268
38.494541;30.763088;49.795441
38.493816;30.759470;49.788921
38.497719;30.764191;49.793579
38.504475;30.774471;49.806618
38.506371;30.779863;49.813526
38.502529;30.777803;49.806259
38.502296;30.780111;49.794315
38.505608;30.796701;49.786873
38.500378;30.825178;49.781460
38.489002;30.867506;49.788853
38.497856;30.939291;49.853222
38.555176;31.051031;50.032749
38.671341;31.191549;50.359818
38.836044;31.335541;50.813427
39.022572;31.459394;51.318317
39.182323;31.532637;51.742012
39.243954;31.498940;51.908451
39.170795;31.326185;51.711567
39.014336;31.077351;51.232166
38.851028;30.853525;50.670975
38.710911;30.701050;50.199474
38.607368;30.630512;49.906818
38.556690;30.642956;49.800827
38.545635;30.701897;49.812469
38.540752;30.750717;49.845440
38.529938;30.767778;49.849148
38.523762;30.770281;49.833023
38.525261;30.775034;49.822544
38.523449;30.781303;49.824429
38.513298;30.782560;49.827248
38.501259;30.776859;49.819405
38.493732;30.768778;49.804787
38.492863;30.765640;49.797554
38.497608;30.769655;49.802197
38.502911;30.776632;49.809845
38.504807;30.781895;49.812534
38.503819;30.783478;49.810558
38.501362;30.782007;49.808159
38.499104;30.779852;49.808247
38.499027;30.778217;49.809811
38.501026;30.777218;49.810650
38.504681;30.779245;49.812096
38.509480;30.785482;49.816082
38.512581;30.791473;49.820934
38.511765;30.794468;49.824211
38.509098;30.797211;49.826092
38.507881;30.799683;49.826294
38.508263;30.798687;49.823612
38.508362;30.796303;49.820801
38.508030;30.797329;49.822563
38.509178;30.801771;49.828556
38.512585;30.806719;49.834869
38.515717;30.809311;49.838760
38.516834;30.807747;49.839367
38.517887;30.804630;49.838932
38.519890;30.803785;49.841476
38.520287;30.804674;49.847157
38.518242;30.806320;49.853542
38.517365;30.809504;49.860474
38.520378;30.812389;49.868057
38.524891;30.812346;49.874039
38.527073;30.810040;49.876545
38.527493;30.808887;49.877266
38.528667;30.812038;49.880234
38.529095;30.817568;49.886356
38.525955;30.820999;49.893478
38.522469;30.823395;49.901695
38.523918;30.827816;49.911163
38.528942;30.832596;49.919304
38.533695;30.837158;49.925945
38.539436;30.845240;49.934372
38.547318;30.856760;49.945030
38.552475;30.864994;49.953945
38.552788;30.866564;49.957977
38.553192;30.866289;49.958073
38.555908;30.867889;49.956959
38.558575;30.869993;49.956264
38.561493;30.873018;49.957111
38.565559;30.878241;49.958557
38.569202;30.883781;49.958115
38.571388;30.888098;49.955898
38.572254;30.891346;49.953541
38.572552;30.894260;49.951984
38.574627;30.898684;49.952652
38.579170;30.905420;49.956108
38.584999;30.913158;49.960464
38.592484;30.920839;49.964874
38.601883;30.929018;49.969799
38.609875;30.936979;49.974197
38.613155;30.940941;49.975166
38.613022;30.938555;49.970715
38.611210;30.931578;49.961124
38.607624;30.923201;49.948696
38.604515;30.916521;49.937733
38.603546;30.912613;49.929417
38.601009;30.908358;49.919472
38.594212;30.901541;49.905922
38.585632;30.893595;49.891735
38.578255;30.885052;49.878868
38.573624;30.876070;49.868607
38.572853;30.869526;49.863457
38.574917;30.866747;49.863155
38.576382;30.865835;49.864098
38.574257;30.865215;49.863770
38.568657;30.865028;49.864086
38.564278;30.867054;49.869221
38.565525;30.872124;49.879284
38.570881;30.877235;49.889523
38.575951;30.878645;49.896328
38.577591;30.876074;49.899525
38.575520;30.872635;49.900867
38.571598;30.870737;49.902336
38.567638;30.870365;49.904987
38.566097;30.872272;49.909828
38.569542;30.877012;49.917690
38.575092;30.881533;49.926231
38.577183;30.882872;49.931740
38.575459;30.881847;49.933556
38.573261;30.880363;49.933949
38.572624;30.879730;49.933628
38.573872;30.880548;49.931816
38.575241;30.880833;49.929073
38.574631;30.878466;49.927479
38.572868;30.875475;49.928539
38.570816;30.873886;49.930157
38.568092;30.872196;49.928596
38.566883;30.869675;49.924622
38.568687;30.867575;49.920155
38.570164;30.865265;49.913433
38.567169;30.860577;49.904690
38.560902;30.854467;49.898464
38.556274;30.850317;49.896729
38.554417;30.847689;49.895599
38.552582;30.843630;49.891407
38.549301;30.837894;49.884754
38.544811;30.832056;49.877327
38.539394;30.827663;49.870113
38.534962;30.825638;49.865269
38.534233;30.825674;49.864403
38.537514;30.826582;49.865425
38.542976;30.827078;49.865437
38.547379;30.826601;49.864319
38.548046;30.825665;49.862652
38.545193;30.824196;49.860203
38.540668;30.821182;49.857265
38.536583;30.817472;49.854950
38.535286;30.815317;49.853489
38.537170;30.816095;49.852676
38.539673;30.819309;49.852764
38.540146;30.822731;49.852371
38.538345;30.824499;49.850235
38.534618;30.823549;49.847309
38.530151;30.820183;49.845066
38.527805;30.818235;49.845078
38.529133;30.820728;49.847946
38.532528;30.825361;49.851082
38.534443;30.827690;49.851921
38.533283;30.825630;49.850456
38.530758;30.820192;49.847328
38.528919;30.814392;49.843609
38.528904;30.810783;49.841644
38.530098;30.809792;49.841885
38.531315;30.810411;49.842453
38.533878;30.811628;49.842354
38.537998;30.812683;49.842606
38.540409;30.813389;49.843281
38.538673;30.813438;49.842304
38.534012;30.811327;49.838928
38.529991;30.807173;49.835896
38.527832;30.803429;49.834496
38.526703;30.801149;49.833366
38.528130;30.800264;49.832638
38.532139;30.801884;49.833076
38.533081;30.806204;49.833977
38.528698;30.810114;49.834919
38.523869;30.810888;49.836102
38.522331;30.809977;49.837055
38.523739;30.809385;49.836376
38.527275;30.808702;49.834042
38.531086;30.807859;49.832581
38.531746;30.807440;49.833202
38.528450;30.807440;49.834881
38.523983;30.808163;49.837101
38.520470;30.808960;49.838726
38.518753;30.808434;49.836853
38.520535;30.807966;49.832069
38.525043;30.809113;49.829044
38.527561;30.809046;49.829288
38.526619;30.806036;49.830086
38.525928;30.802689;49.829754
38.526634;30.800125;49.828793
38.527229;30.798243;49.828079
